case,geometry,noise,model,arm,n_fit,n_hold,failed_prices,price_bound_violations,invalid_iv_pairs,price_rmse_spot,iv_rmse,z_mae,z_max_error,parameter_gate,price_gate,seconds,truth_quadrature_max_difference,predicted_quadrature_max_difference,failed_parameter_case
905101_00,single_expiry,0.01,seed_43/repaired,refined,10,5,0,0,0,0.00030254023116186364,0.002137868746618109,0.3411060392112184,1.1017691306374184,False,False,0.30618549999780953,8.076872504148014e-15,7.93809462606987e-15,False
905101_00,single_expiry,0.01,seed_43/repaired,hybrid_polish,10,5,0,0,0,0.0004138658386711231,0.003070283800591064,3.07398724493878,9.276988211876864,False,False,16.75386095799331,8.076872504148014e-15,8.132383655379272e-15,False
905101_01,rich,0.0,unified_v6/unified,encoder,60,30,0,0,0,0.0002542055002349769,0.0027152784768302973,0.47256951909317274,1.3637240473805299,False,False,0.0048435829958179966,1.0436096431476471e-14,9.547918011776346e-15,False
905101_01,rich,0.0,unified_v6/unified,refined,60,30,0,0,0,2.069147168487596e-05,6.754463697692467e-05,0.35254562618543794,0.9699863164772844,False,False,0.3305037909958628,1.0436096431476471e-14,9.325873406851315e-15,False
905101_01,rich,0.0,seed_17/repaired,encoder,60,30,0,0,0,0.0009495209956142972,0.0027867977012149487,0.44646398654184943,1.3483766779770496,False,False,0.004573209000227507,1.0436096431476471e-14,9.325873406851315e-15,False
905101_01,rich,0.0,seed_17/repaired,refined,60,30,0,0,0,3.022644576913372e-05,8.140409983919316e-05,0.3498775348264808,0.9668312541808003,False,False,0.3332767500032787,1.0436096431476471e-14,9.547918011776346e-15,False
905101_01,rich,0.0,seed_29/repaired,encoder,60,30,0,0,0,0.0006377328336123221,0.005502801081015888,0.45038734241411477,1.3673491691211128,False,False,0.0044204169971635565,1.0436096431476471e-14,9.547918011776346e-15,False
905101_01,rich,0.0,seed_29/repaired,refined,60,30,0,0,0,4.839179756079945e-05,0.000192586436519527,0.3414057242080186,0.9403955916659001,False,False,0.33342179199826205,1.0436096431476471e-14,9.325873406851315e-15,False
905101_01,rich,0.0,seed_43/repaired,encoder,60,30,0,0,0,0.0006889091717483544,0.0023852334220462517,0.4454491482531574,1.3479107695244894,False,False,0.005020583994337358,1.0436096431476471e-14,9.43689570931383e-15,False
905101_01,rich,0.0,seed_43/repaired,refined,60,30,0,0,0,2.612518791847259e-05,6.48738573783905e-05,0.35018672027117487,0.9652779828228828,False,False,0.3376169170005596,1.0436096431476471e-14,9.43689570931383e-15,False
905101_01,rich,0.0,seed_43/repaired,hybrid_polish,60,30,0,0,0,7.567071501211627e-17,9.059247257303687e-15,1.972923403445447e-12,9.675377885123037e-12,True,True,5.672451583996008,1.0436096431476471e-14,9.325873406851315e-15,False
905101_01,rich,0.01,unified_v6/unified,encoder,60,30,0,0,0,0.00030443653475392414,0.0019672641917222043,0.47000612665132335,1.3558066278829444,False,False,0.003938916001061443,1.0436096431476471e-14,9.547918011776346e-15,False
905101_01,rich,0.01,unified_v6/unified,refined,60,30,0,0,0,8.724796266664441e-05,0.0005029649657469866,0.5290842990772429,1.3009403896424026,False,False,0.3432082079962129,1.0436096431476471e-14,9.769962616701378e-15,False
