condition,case,model,parameter,true,estimated,absolute_error
Clean,8,Original Double Heston,v0_s,0.08787426301004327,0.08099006673453599,0.006884196275507279
Clean,8,Original Double Heston,kappa_f,7.17674098814835,7.308335981929133,0.13159499378078277
Clean,8,Original Double Heston,theta_f,0.016667955226551016,0.026370803149053035,0.00970284792250202
Clean,8,Original Double Heston,sigma_f,0.3740442753161844,0.3397973212572065,0.034246954058977874
Clean,8,Original Double Heston,rho_f,0.11102127946639595,0.1155709359992525,0.00454965653285655
Clean,8,Original Double Heston,v0_f,0.13607401663868543,0.14332106958650062,0.007247052947815191
Clean,8,Unregularized matched PINN,kappa_s,2.0267781120115806,2.1146686723909633,0.0878905603793827
Clean,8,Unregularized matched PINN,theta_s,0.0472506100373222,0.03480602288640139,0.01244458715092081
Clean,8,Unregularized matched PINN,sigma_s,0.19549279423419144,0.21378514487160585,0.018292350637414412
Clean,8,Unregularized matched PINN,rho_s,0.08372955837867135,0.08058390714418406,0.00314565123448729
Clean,8,Unregularized matched PINN,v0_s,0.08787426301004327,0.07707474146864741,0.010799521541395851
Clean,8,Unregularized matched PINN,kappa_f,7.17674098814835,7.229162344996023,0.05242135684767302
Clean,8,Unregularized matched PINN,theta_f,0.016667955226551016,0.029240112390769693,0.012572157164218677
Clean,8,Unregularized matched PINN,sigma_f,0.3740442753161844,0.3518618286144459,0.022182446701738467
Clean,8,Unregularized matched PINN,rho_f,0.11102127946639595,0.11077417996219563,0.000247099504200321
Clean,8,Unregularized matched PINN,v0_f,0.13607401663868543,0.1468073292302091,0.010733312591523658
Clean,8,Selected regularized PINN,kappa_s,2.0267781120115806,2.1136878127408187,0.08690970072923809
Clean,8,Selected regularized PINN,theta_s,0.0472506100373222,0.034928277152303545,0.012322332885018654
Clean,8,Selected regularized PINN,sigma_s,0.19549279423419144,0.2134999551170903,0.01800716088289886
