dimension,group,model,rows,iv_rmse,iv_mae,iv_bias,pooled_iv_r2,within_surface_centered_r2,mean_surface_iv_rmse,median_surface_iv_rmse
symbol,TATAPOWER,heston_training_median_v0,1126,0.053289766263316295,0.043648384020556395,0.015982807943223584,0.13989837071805622,0.6202406600450288,0.04828737121287407,0.04682417127990318
symbol,TATAPOWER,heston_prior_available_v0,1096,0.04479603344820354,0.028400940357090145,-0.01143761373754494,0.37267741268410914,0.6646846343954937,0.036987689887500334,0.025981166153342505
symbol,TATAPOWER,heston_shuffled_v0,1123,0.06640875948268833,0.05329592243727387,-0.013055705393270025,-0.3897012167267302,0.5071543867520922,0.058313858910549084,0.05222663049619023
symbol,TATAPOWER,heston_train_half_a,1126,0.0328505930042087,0.017549462948663257,-0.0075606097909971855,0.6731499415795302,0.619583932923682,0.027408499883603187,0.021147527899708567
symbol,TATAPOWER,heston_train_half_b,1125,0.04323503304144041,0.03030490863267082,0.004002443096160785,0.4277972541615972,0.662242035844601,0.04016700607843684,0.035967448541358776
symbol,TORNTPOWER,heston_same_day_v0,125,0.04063622383774814,0.0272578728306788,0.0008339752310584147,0.5752954373909451,0.5738793077219861,0.03137832932539811,0.025181759533352055
symbol,TORNTPOWER,flat_anchor_iv,125,0.053709430782684746,0.028613660406090737,-0.010902043559349862,0.25807272293681116,-0.014330489573454841,0.03433830796209853,0.02311151273066323
symbol,TORNTPOWER,quadratic_anchor_smile,125,0.013743480005699653,0.010220753066731831,0.0007695083196452072,0.9514204297284946,0.935122558290732,0.01260211414479173,0.011966069352582565
symbol,TORNTPOWER,heston_training_median_v0,125,0.06178978320925256,0.04794471418183138,0.015659478148726483,0.018040487017889517,0.5871053828674596,0.05245160295316425,0.0390845200815563
symbol,TORNTPOWER,heston_prior_available_v0,107,0.05903687766199563,0.04550335684958703,-0.0018461916217249817,0.04816751257346663,0.5457230839315632,0.051701371151822564,0.04483330881993656
symbol,TORNTPOWER,heston_shuffled_v0,125,0.07438545833863473,0.06342520582874382,-0.0039018721363664865,-0.4231029716525958,0.4545944684499019,0.07046375121947993,0.06930446116651051
symbol,TORNTPOWER,heston_train_half_a,125,0.04728095852576105,0.03342758038361921,0.005689062739066709,0.425046418446575,0.5415703234880958,0.03773082452708167,0.027968466776167177
symbol,TORNTPOWER,heston_train_half_b,125,0.03847967594432583,0.02522800564854421,0.00045387651900792835,0.6191771044572594,0.6114624641133581,0.029258597261473975,0.023404248650697318
