spot,strike,tau,rate,dividend,call_price,pinn_price,absolute_error
100.0,120.73529411764706,1.75,0.03,0.01,4.868700161233793,4.8514822680738705,0.017217893159922504
100.0,125.58823529411765,1.75,0.03,0.01,3.8749709381170625,3.8613558161610713,0.013615121955991238
100.0,130.44117647058823,1.75,0.03,0.01,3.066604833849251,3.0610601315405512,0.005544702308699634
100.0,135.2941176470588,1.75,0.03,0.01,2.414462069403335,2.415368420186024,0.0009063507826891914
100.0,140.1470588235294,1.75,0.03,0.01,1.8922575368017895,1.8919093706317613,0.00034816617002819683
100.0,145.0,1.75,0.03,0.01,1.4768825535168855,1.4656727066404012,0.011209846876484297
100.0,62.5,2.0,0.03,0.01,39.46155250202885,39.38070848381411,0.08084401821474074
100.0,67.3529411764706,2.0,0.03,0.01,35.18292038029216,35.172563109290195,0.010357271001964818
100.0,72.20588235294117,2.0,0.03,0.01,31.079195105721446,31.088277532888043,0.009082427166596574
100.0,77.05882352941177,2.0,0.03,0.01,27.19826179338824,27.20627005609998,0.008008262711740599
100.0,81.91176470588235,2.0,0.03,0.01,23.582041875502497,23.58416985709281,0.0021279815903127997
100.0,86.76470588235294,2.0,0.03,0.01,20.26259237928447,20.26095853798481,0.001633841299661043
100.0,91.61764705882354,2.0,0.03,0.01,17.259978032766426,17.258504864123225,0.0014731686432014612
