t_days,tau_days,S,C_BS,C_SH,C_DH,C_PINN
201.74549098196394,528.2545090180361,105.0,13.280105475649371,13.388809545859731,13.350248901983502,
202.94736842105263,527.0526315789474,105.0,,,,13.33763024211526
203.20741482965934,526.7925851703407,105.0,13.2639980772964,13.372877418585018,13.334139582660134,
204.66933867735472,525.3306613226453,105.0,13.2478659954229,13.356924512821713,13.31801213057364,
204.7593984962406,525.2406015037594,105.0,,,,13.317632702880278
206.13126252505012,523.8687374749499,105.0,13.231709118888913,13.34095075791123,13.301866488753243,
206.57142857142856,523.4285714285714,105.0,,,,13.297607163859132
207.5931863727455,522.4068136272545,105.0,13.215527335715011,13.324956082799389,13.285702599886013,
208.38345864661653,521.6165413533835,105.0,,,,13.277553517360197
209.0551102204409,520.9448897795592,105.0,13.199320533073443,13.308940416033318,13.269520406313646,
210.1954887218045,519.8045112781955,105.0,,,,13.257471654899765
210.5170340681363,519.4829659318636,105.0,13.18308859727898,13.292903685757791,13.253319850029266,
211.97895791583167,518.0210420841684,105.0,13.166831413779924,13.276845819712015,13.23710087267411,
212.00751879699249,517.9924812030075,105.0,,,,13.237361467192741
213.44088176352707,516.559118236473,105.0,13.150548867148718,13.260766745226066,13.220863415534218,
213.81954887218043,516.1804511278195,105.0,,,,13.217222844143077
214.90280561122245,515.0971943887776,105.0,13.134240841072653,13.244666389217342,13.204607419537105,
215.6315789473684,514.3684210526316,105.0,,,,13.197055674834175
216.36472945891785,513.6352705410821,105.0,13.117907218344195,13.228544678187117,13.188332825248374,
217.4436090225564,512.5563909774436,105.0,,,,13.176859847519108
217.82665330661322,512.1733466933867,105.0,13.101547880851475,13.212401538216842,13.17203957286819,
219.25563909774436,510.7443609022556,105.0,,,,13.156635249610607
219.28857715430863,510.71142284569135,105.0,13.085162709568378,13.196236894964594,13.155727602227888,
220.75050100200403,509.24949899799594,105.0,13.068751584544682,13.1800506736613,13.139396852786424,
221.0676691729323,508.9323308270677,105.0,,,,13.13638176767104
222.2124248496994,507.7875751503006,105.0,13.052314384895967,13.16384279910705,13.123047263626775,
222.8796992481203,507.1203007518797,105.0,,,,13.116099287402005
223.6743486973948,506.3256513026052,105.0,13.035850988793369,13.147613195667397,13.106678773452353,
224.69172932330827,505.30827067669173,105.0,,,,13.095787693634037
225.13627254509018,504.86372745490985,105.0,13.019361273453246,13.131361787269375,13.090291320583312,
226.50375939849624,503.49624060150376,105.0,,,,13.075446870315853
226.59819639278558,503.40180360721445,105.0,13.002845115126725,13.115088497397796,13.073884842952863,
228.06012024048098,501.93987975951904,105.0,12.986302389088932,13.098793249091203,13.057459278103533,
228.3157894736842,501.68421052631584,105.0,,,,13.055076700503653
229.52204408817636,500.47795591182364,105.0,12.969732969628296,13.08247596493798,13.041014563183284,
230.12781954887217,499.87218045112786,105.0,,,,13.034677066350085
230.98396793587176,499.01603206412824,105.0,12.953136730035562,13.06613656707232,13.024550634941757,
231.93984962406014,498.0601503759399,105.0,,,,13.014247849093179
232.44589178356713,497.55410821643284,105.0,12.936513542592635,13.049774977170165,13.008067429726347,
233.75187969924812,496.2481203007519,105.0,,,,12.993788929044902
233.90781563126254,496.09218436873743,105.0,12.919863278561326,13.03339111644505,12.991564883478166,
235.36973947895794,494.63026052104203,105.0,12.903185808171976,13.016984905643996,12.975042931728124,
235.5639097744361,494.43609022556393,105.0,,,,12.973300185579733
236.8316633266533,493.1683366733467,105.0,12.88648100061175,13.000556265043269,12.958501509592882,
237.37593984962405,492.62406015037595,105.0,,,,12.952781497122935
238.29358717434872,491.7064128256513,105.0,12.869748724012961,12.984105114444061,12.941940551770669,
239.18796992481202,490.812030075188,105.0,,,,12.93223274113856
239.7555110220441,490.24448897795594,105.0,12.852988845441052,12.967631373168198,12.925359992537171,
241.0,489.0,105.0,,,,12.911653794117438
241.2174348697395,488.78256513026054,105.0,12.836201230882512,12.951134960053826,12.908759765741342,
242.6793587174349,487.32064128256513,105.0,12.819385745232621,12.934615793450828,12.892139804801054,
242.81203007518798,487.187969924812,105.0,,,,12.891044531564793
244.14128256513027,485.85871743486973,105.0,12.80254225228293,12.918073791216406,12.875500042698821,
244.62406015037593,485.37593984962405,105.0,,,,12.87040482798778
245.60320641282567,484.39679358717433,105.0,12.785670614708575,12.901508870710558,12.858840411977415,
246.4360902255639,483.56390977443607,105.0,,,,12.849734556882664
247.06513026052104,482.9348697394789,105.0,12.768770694055544,12.884920948791397,12.842160844735385,
248.24812030075188,481.7518796992481,105.0,,,,12.829033590721917
248.52705410821645,481.4729458917835,105.0,12.75184235072748,12.868309941810516,12.825461272622626,
249.98897795591185,480.0110220440881,105.0,12.734885443972642,12.851675765608269,12.808741626835722,
250.06015037593986,479.9398496240601,105.0,,,,12.80830180094105
251.45090180360722,478.5490981963928,105.0,12.717899831870316,12.83501833550892,12.792001838113407,
251.8721804511278,478.1278195488722,105.0,,,,12.7875390579252
252.91282565130263,477.0871743486974,105.0,12.700885371317282,12.81833756631578,12.775241836731846,
253.68421052631578,476.3157894736842,105.0,,,,12.766745230995445
254.374749498998,475.62525050100203,105.0,12.683841918013918,12.801633372306432,12.758461552499877,
255.49624060150376,474.50375939849624,105.0,,,,12.745920188394981
255.8366733466934,474.1633266533066,105.0,12.666769326450254,12.784905667227482,12.741660914754192,
257.2985971943888,472.7014028056112,105.0,12.64966744989161,12.768154364289767,12.724839852354545,
257.30827067669173,472.69172932330827,105.0,,,,12.725063797274988
258.7605210420842,471.2394789579158,105.0,12.63268936713111,12.751379376163078,12.707998293678697,
259.1203007518797,470.8796992481203,105.0,,,,12.704175923680305
260.2224448897796,469.7775551102204,105.0,12.615765487399091,12.73458061497098,12.691136166617465,
260.9323308270677,469.0676691729323,105.0,,,,12.683256432534733
261.684368737475,468.315631262525,105.0,12.598812692349258,12.717757992285637,12.67425339856966,
262.7443609022556,467.2556390977444,105.0,,,,12.66230518762627
263.14629258517033,466.85370741482967,105.0,12.581830836428509,12.700911419122349,12.657349916436857,
264.5563909774436,465.4436090225564,105.0,,,,12.64132205159187
264.60821643286573,465.39178356713427,105.0,12.56481977285522,12.684040805934313,12.640425646618334,
266.07014028056113,463.92985971943887,105.0,12.547779353604687,12.667146062607015,12.62348051500562,
266.36842105263156,463.63157894736844,105.0,,,,12.620306885902137
267.53206412825654,462.46793587174346,105.0,12.530709429394275,12.650227098452769,12.606514446977254,
268.18045112781954,461.81954887218046,105.0,,,,12.599259550845554
268.99398797595194,461.00601202404806,105.0,12.513609849668526,12.633283822204952,12.589527367393224,
269.9924812030075,460.0075187969925,105.0,,,,12.578179905512625
270.4559118236473,459.5440881763527,105.0,12.49648046258385,12.616316142012561,12.572519200589579,
271.8045112781955,458.1954887218045,105.0,,,,12.557067807779537
271.9178356713427,458.0821643286573,105.0,12.479321114993066,12.599323965434134,12.555489870372874,
273.3797595190381,456.6202404809619,105.0,12.462131652429758,12.582307199432087,12.538439300014275,
273.61654135338347,456.38345864661653,105.0,,,,12.535923114291691
274.8416833667335,455.1583166332665,105.0,12.44491191909219,12.565265750366738,12.521367412244071,
275.42857142857144,454.57142857142856,105.0,,,,12.514745680446831
276.3036072144289,453.6963927855711,105.0,12.427661757827227,12.548199523990226,12.504274129245744,
277.24060150375936,452.75939849624064,105.0,,,,12.493535360377905
277.76553106212424,452.23446893787576,105.0,12.410381010113849,12.531108425440488,12.487159372650023,
279.05263157894734,450.94736842105266,105.0,,,,12.47229200693558
279.22745490981964,450.77254509018036,105.0,12.393069516046404,12.513992359234992,12.47002306352899,
280.68937875751504,449.31062124248496,105.0,12.375727114317668,12.496851229264502,12.4528651223899,
280.8646616541353,449.1353383458647,105.0,,,,12.451015471670557
282.15130260521045,447.84869739478955,105.0,12.35835364220158,12.47968493878671,12.435685469169119,
282.6766917293233,447.3233082706767,105.0,,,,12.42970560481535
283.61322645290585,446.38677354709415,105.0,12.340948935535748,12.462493390419725,12.41848402322584,
284.4887218045113,445.5112781954887,105.0,,,,12.408362255265947
285.0751503006012,444.9248496993988,105.0,12.323512828703628,12.445276486135668,12.40126070333572,
286.30075187969925,443.69924812030075,105.0,,,,12.386985270562944
286.5370741482966,443.4629258517034,105.0,12.306045154616449,12.428034127253834,12.384015427684451,
287.998997995992,442.001002004008,105.0,12.288545744694899,12.410766214434135,12.366748113861311,
288.1127819548872,441.8872180451128,105.0,,,,12.365574496872489
289.4609218436874,440.5390781563126,105.0,12.271014428850329,12.39347264767017,12.349458678852457,
289.9248120300752,440.0751879699248,105.0,,,,12.344129778966762
290.9228456913828,439.0771543086172,105.0,12.253451035465952,12.37615332628233,12.332147039034307,
291.7368421052632,438.2631578947368,105.0,,,,12.322650960204095
292.38476953907815,437.61523046092185,105.0,12.235855391377436,12.358808148910736,12.314813110166668,
293.5488721804511,436.4511278195489,105.0,,,,12.301137882508783
293.84669338677355,436.15330661322645,105.0,12.218227321853423,12.341437013508173,12.29745680738583,
