case_id,arm,start_index,start_strategy,optimizer_success,nfev,price_rmse_normalized,parameter_rmse_full_range,constraint_valid,bound_hit,runtime_seconds
case_4,sobol,11,sobol_11,True,94,2.7471454430402054e-14,4.0129905212954055e-12,True,False,1.9322558329731692
case_4,relweight,0,midpoint,False,120,4.556134694168596e-11,4.546779835939034e-07,True,False,2.261557833000552
case_4,relweight,1,broad_1,True,23,0.007362159650464867,0.36219605721132136,True,True,0.2660622499824967
case_4,relweight,2,broad_2,True,49,0.000430619913128478,0.4341133720190396,True,True,0.8043484589725267
case_4,relweight,3,broad_3,True,85,7.899591624361199e-05,0.1166682769116648,True,False,1.3534878329955973
case_4,relweight,4,broad_4,True,71,5.246572741703159e-05,0.12594835969065385,True,True,1.1486757080128882
case_4,relweight,5,broad_5,False,120,5.978661172275084e-07,0.007537728778549569,True,False,2.2727805839967914
case_4,relweight,6,broad_6,False,120,1.222838227643938e-08,0.00015518106501976792,True,False,2.434066041983897
case_4,relweight,7,broad_7,True,27,0.0017068228357747846,0.28178053224033583,True,True,0.2523130420013331
case_4,relweight,8,broad_8,True,36,0.0027708970770025086,0.40235576198967093,True,True,0.44454249998671
case_4,relweight,9,broad_9,True,110,4.1775292309987094e-05,0.12379309906253529,True,True,2.0289657909888774
case_4,relweight,10,broad_10,True,50,1.6279725022420184e-05,0.060046983591480106,True,False,0.7593295419937931
case_4,relweight,11,broad_11,True,87,0.0001403329232271777,0.15935893606200513,True,True,1.511800582986325
case_4,polish,0,polish_0,True,1,3.025579020480374e-14,5.553604007960024e-12,True,False,0.025182499986840412
case_4,polish,1,polish_1,True,1,3.1013306104050794e-14,6.3618232154770625e-12,True,False,0.025488709012279287
case_4,polish,2,polish_2,True,1,3.825365187942986e-14,1.9325670099449932e-11,True,False,0.026063166005769745
case_4,polish,3,polish_3,True,1,2.735788731234747e-13,1.1027200564062941e-10,True,False,0.025061708001885563
case_4,polish,4,polish_4,True,1,2.008773989881953e-12,2.36105068836853e-10,True,False,0.026299375022063032
case_4,polish,5,polish_5,True,1,7.548547118054872e-12,8.774321694718381e-10,True,False,0.02581945899873972
case_4,polish,6,polish_6,True,1,1.0830879296064672e-11,1.2639988575245914e-09,True,False,0.0309971249953378
case_4,polish,7,polish_7,True,1,5.133126831849283e-10,6.385098920924786e-08,True,False,0.03114433301379904
case_4,polish,8,polish_8,True,137,2.890034305902681e-14,3.885008301554397e-12,True,False,3.0112033339974005
case_4,polish,9,polish_9,True,9,0.0019433425160494506,0.26211639273817744,True,True,0.10519999999087304
case_4,polish,10,polish_10,True,19,0.0019437253240958895,0.36380009377055533,True,True,0.06473204100620933
case_4,polish,11,polish_11,True,19,0.0019474602845235467,0.18981186059213584,True,True,0.0642516250081826
case_4,prior_ranges,0,midpoint,True,56,0.0020285553015608987,0.28788576538721666,True,True,0.7957804170146119
case_4,prior_ranges,1,broad_1,False,120,0.0015394240862438482,0.3053702449631168,True,False,2.5978527500119526
case_4,prior_ranges,2,broad_2,True,57,0.0020284334285254825,0.28778857408231046,True,True,0.8096701250178739
case_4,prior_ranges,3,broad_3,True,72,0.0017422272890460317,0.3893637837817166,True,True,1.3005858749966137
case_4,prior_ranges,4,broad_4,True,43,0.0020299397950618234,0.2897649089583357,True,False,0.6312938749906607
case_4,prior_ranges,5,broad_5,True,49,0.0020298921286492954,0.28960827129330446,True,True,0.6863158339983784
case_4,prior_ranges,6,broad_6,True,91,0.0015711120929290476,0.3032933530516715,True,False,1.6337888750131242
case_4,prior_ranges,7,broad_7,True,96,0.0017359597633352939,0.38757006199901056,True,True,1.7995175000105519
case_4,prior_ranges,8,broad_8,True,54,0.0020284917582684223,0.28784606473450447,True,True,0.8262548329948913
case_4,prior_ranges,9,broad_9,True,108,0.0015559410027164691,0.2810737680400403,True,True,2.0763170839927625
case_4,prior_ranges,10,broad_10,True,48,0.0020286213360314214,0.28797834127052035,True,True,0.5741142919869162
case_4,prior_ranges,11,broad_11,True,43,0.0020283977158060086,0.2880313755837489,True,True,0.5024086670018733
