source,group,case,direct_passes,canonical_passes,permutation_passes,permutation_swapped,permutation_tolerance_rmse
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,3,0,0,0,False,9.565325759774872
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,4,2,2,2,False,4.102625021846818
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,5,1,1,1,False,29.75203559495189
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,6,1,1,1,False,18.81841653949548
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,7,2,2,2,False,5.247376548231248
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,8,0,0,0,False,5.673226962062692
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,9,4,4,4,False,6.938916939671665
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,10,0,0,0,False,6.962573595508588
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,11,1,1,1,False,35.14898811658862
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,12,0,0,0,False,4.320813268768512
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,13,1,1,1,False,8.92563389434069
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,14,0,0,0,False,4.75643565539456
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,15,1,1,1,False,4.731552792347222
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,16,3,3,3,False,7.439936579916295
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,17,2,2,2,False,8.49179757048707
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,18,1,1,1,False,21.08486079492889
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,19,3,3,3,False,3.743331595743857
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,20,1,1,1,False,26.03830775967222
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,21,1,1,1,False,6.894689293220722
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,22,0,0,0,False,7.49125577846662
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,double_sobolev_s17|rich|directory,23,0,0,0,False,15.802591242978197
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,0,0,0,0,False,19.033808830683853
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,1,3,3,3,False,3.1266693990034673
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,2,1,1,1,False,13.009804841918298
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,3,0,0,0,False,10.040033897759416
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,4,5,5,5,False,3.7830459340292864
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,5,1,1,1,False,29.368948217913367
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,6,1,1,1,False,18.817352648646512
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,7,3,3,3,False,5.853188801137488
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,8,0,0,0,False,7.9524689155117585
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,9,4,4,4,False,6.894625588570523
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,10,0,0,0,False,7.232153043209978
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,11,1,1,1,False,35.71353213408326
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,12,0,0,0,False,5.207883792851486
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,13,1,1,1,False,11.358182158756486
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,14,0,0,0,False,4.679737271208268
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,15,2,2,2,False,4.661324906452614
outputs/deeper_pinn/fresh_noise_909831/fits_and_starts.json,deep11_s17|rich|directory,16,3,3,3,False,7.498755274816652
